restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Byg Brewski Brewing Company,Sarjapur Road,"continental, north indian, italian, south indian, finger food",1600,4.9,16832,high,yes,yes,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings",Delivery,Sarjapur Road
Toit,Indiranagar,"italian, american, pizza",1500,4.7,14956,high,no,no,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos",Dine-out,Indiranagar
Truffles,Koramangala 5Th Block,"cafe, american, burger, steak",900,4.7,14726,medium,no,no,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert",Dine-out,Koramangala 7th Block
AB's - Absolute Barbecues,Marathahalli,"european, mediterranean, north indian, bbq",1600,4.8,12121,high,no,yes,Casual Dining,"Raj Kachori, Paan Kulfi, Churros, Butter Chicken, Momos, Bbq Prawns, Pudding",Dine-out,Marathahalli
The Black Pearl,Koramangala 5Th Block,"north indian, european, mediterranean",1400,4.7,10550,medium,no,yes,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry",Pubs and bars,Koramangala 7th Block
Big Pitcher,Old Airport Road,"american, continental, north indian, mediterranean",1800,4.6,9300,high,no,yes,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food",Drinks & nightlife,Old Airport Road
Onesta,Koramangala 4Th Block,"pizza, cafe, italian",600,4.4,9085,medium,yes,yes,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza",Desserts,Koramangala 7th Block
Arbor Brewing Company,Brigade Road,"american, continental",2000,4.5,8419,high,no,yes,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Cocktails, Belgian Brew Beer, Chicken Bbq Wings",Dine-out,Residency Road
Empire Restaurant,Indiranagar,"north indian, mughlai, south indian, chinese",750,4.1,8304,medium,yes,no,Casual Dining,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Chilli Chicken",Dine-out,Old Airport Road
Prost Brew Pub,Koramangala 4Th Block,"american, continental, north indian, salad",1800,4.5,7871,high,no,yes,"Pub, Microbrewery","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs",Pubs and bars,Koramangala 7th Block
